id,src,fu,t,loc,p,s,f,fo,sd,z,doc,v,di,nota,lat,lng,u
TG7,TG,Tagliabue Propiedades,Loteo Sacramento – extremo sur Merlo (10 min centro),Merlo,,800,21,72,O,MLO,Escritura,A consultar,FALSE,"1.542m² (21×72m). Zona tranquila, 10 min del centro histórico. Escritura. Varios lotes disponibles.",-32.358,-650.165,https://tagliabuepropiedades.com/propiedad/4769614-2/
TG8,TG,Tagliabue Propiedades,Loteo Los Mollares – Rincón del Este,Merlo,,900,20,45,O,MLOU,Consultar,A consultar,FALSE,Loteo en faldeo de los Comechingones. Rincón del Este. Varios lotes disponibles.,-32.346,-649.975,https://tagliabuepropiedades.com/propiedad/50450-2/
TG9,TG,Tagliabue Propiedades,Jardines de la Plaza – loteo completo (lotes ~600m²),Merlo,,800,20,40,N,MLO,Escritura,Todos incl. gas,FALSE,Urbanización única en el radio céntrico. 500m de la plaza. Lotes desde 600m². Gas natural. Escritura inmediata.,-32.342,-65.013,https://tagliabuepropiedades.com/propiedad/51783-2/
SG1,SG,SG Seguridad y Gestión,"408m² – Barrio Los Troncos (Bv. Olivera, urgente)",Merlo,22000,408,17,24,O,MLO,Escritura,Agua y luz,FALSE,Último lote. A media cuadra de Bv. Olivera. 7 cuadras Colegio Bratti. Arbolado. Escritura inmediata. Se puede tomar vehículo. Urgente.,-323.472,-65.011,https://sginmobiliariamerlo.com/
SG2,SG,SG Seguridad y Gestión,"1.500m² – Los Nogales (faldeo serrano, doble salida)",Merlo,80000,1500,25,60,O,MLOU,Escritura,"Agua, luz",FALSE,"Salida a dos calles. Increíble arboleda autóctona. Vistas al valle y sierras. Agua, luz y escritura inmediata.",-32.331,-650.095,https://sginmobiliariamerlo.com/
SG3,SG,SG Seguridad y Gestión,"722m² – Los Molles (25.5m×28.3m, con pileta)",Los Molles,22000,722,25.5,28.3,O,MLO,Escritura,"Agua, luz, cloacas",TRUE,"25.50×28.32m. A 20m de Ruta 1. Cercado romboidal con portón. Agua, luz y cloacas. Pileta de material.",-32.358,-64.986,https://www.argenprop.com/inmuebles/venta/los-molles-junin
SG4,SG,SG Seguridad y Gestión,Loteo Los Molles – lotes 1.500m² (financiación),Los Molles,,1500,30,50,O,MLO,Consultar,"Agua, luz",FALSE,Zona residencial Los Molles. Vistas a las sierras. 100m de Ruta 1. Servicios en zona. Financiación: 50-60% entrega + cuotas sin interés.,-323.555,-64.987,https://sginmobiliariamerlo.com/
CI1,CI,Castro Inmobiliaria,1.186m² – Piedra Blanca Abajo (10 min centro),Merlo,20000,1186,21,56,O,MLO,A confirmar,A consultar,FALSE,Piedra Blanca Abajo. A metros del asfalto. A 10 minutos del centro. Zona tranquila y tradicional.,-323.505,-650.125,https://www.icasas.com.ar/agente/castro-inmobiliaria-27c6-8307-df9d26bf-259726acc7dd-421b
CI2,CI,Castro Inmobiliaria,Urbanización Las Magdalenas (lotes con gas natural),Merlo,,800,20,40,O,MLO,Escritura,Todos incl. gas,FALSE,100m de Av. Fermín Romero y Av. Norte. 5 min del centro. Gas natural. Escritura inmediata.,-32.343,-650.135,https://www.icasas.com.ar/agente/castro-inmobiliaria-27c6-8307-df9d26bf-259726acc7dd-421b
CI3,CI,Castro Inmobiliaria,Loteo Don Fermín – Piedra Blanca (junto al Algarrobo),Merlo,,800,20,40,O,MLO,Consultar,A consultar,FALSE,Frente al Parque del Algarrobo Abuelo (monumento natural). Piedra Blanca Abajo. Castro Inmobiliaria.,-32.342,-65.012,https://www.icasas.com.ar/agente/castro-inmobiliaria-27c6-8307-df9d26bf-259726acc7dd-421b
CI4,CI,Castro Inmobiliaria,"1.573m² – Merlo (Properati, feb 2026)",Merlo,18000,1573,28,56,O,MLO,A confirmar,A consultar,FALSE,"Publicado feb 2026. USD 18,000. Consultar ubicación exacta.",-323.465,-65.012,https://www.properati.com.ar/s/merlo-san-luis/terreno/venta
LO1,LO,Loyola Inmobiliaria,"1.043m² esq. – Piedra Blanca, Punto Norte (arboleda)",Merlo,,1043,20,52,N,MLO,Escritura,A consultar,TRUE,"Esquina, orientación norte. Vistas abiertas. Arboleda grande parquizada. Alambrado perimetral. Títulos perfectos. Listo para edificar.",-323.495,-650.128,https://www.argenprop.com/loyola-propiedades
ME7,ME,Kunze Inmobiliaria,"6.297m² – Los Nogales, Merlo (Kunze Inmobiliaria)",Merlo,145000,6297,55,115,O,MLOU,A confirmar,A consultar,FALSE,"Zona alta Los Nogales. Vistas extraordinarias. USD 145,000. Kunze Inmobiliaria (Properati ene 2026).",-323.325,-650.085,https://www.properati.com.ar/s/merlo-san-luis/terreno/venta
ME8,ME,Gatafoni Propiedades,"1.500m² – Merlo, faldeo (Gatafoni Propiedades)",Merlo,90000,1500,25,60,O,MLOU,A confirmar,A consultar,FALSE,"Vistas panorámicas. Pocas cuadras de Av. principal. Gatafoni Propiedades, Cnel Mercau 527, Merlo.",-323.395,-65.006,https://www.gatafonipropiedades.com.ar/
ME9,ME,Passerini Inmobiliaria,"Terreno – Merlo (Passerini Inmobiliaria, ene 2026)",Merlo,25000,900,20,45,O,MLO,A confirmar,A consultar,FALSE,"Publicado enero 2026 en Properati. USD 25,000. Consultar superficie y ubicación exacta.",-323.444,-650.115,https://www.properati.com.ar/s/merlo-san-luis/terreno/venta
ME10,ME,Barrera y Asociados,Terreno – Merlo (Barrera y Asociados),Merlo,22000,800,20,40,O,MLO,A confirmar,A consultar,FALSE,"Barrera y Asociados, sucursal Merlo (también en Belgrano/Colegiales, BsAs). Publicado en portales.",-32.345,-650.105,https://www.properati.com.ar/s/merlo-san-luis/terreno/venta
ME11,ME,Heima Negocios Inmob.,Barrio Las Magdalenas – Merlo (Heima Negocios Inmob.),Merlo,28500,700,20,35,O,MLO,A confirmar,A consultar,FALSE,Pocas cuadras Ruta 1 km 4. Alambrado olímpico 1.50m con postes de hormigón. Heima Negocios Inmobiliarios.,-32.344,-650.128,https://www.properati.com.ar/s/merlo-san-luis/terreno/venta
ME12,ME,Paolini Propiedades,Terreno – Merlo (Paolini Propiedades),Merlo,35000,900,20,45,O,MLO,A confirmar,A consultar,FALSE,Paolini Propiedades. Publicado Properati. Consultar superficie y ubicación exacta.,-32.343,-65.014,https://www.properati.com.ar/s/merlo-san-luis/terreno/venta
MA1,MA,Marengo Inmobiliaria,"754m² – Luis Tessandori (2 lotes, 200m Av San Martín)",Mina Clavero,,754,14,27,S,Z2B,Consultar,A consultar,FALSE,"Cod 13. 2 lotes céntricos contiguos, calle Luis Tessandori. A 200m Av. San Martín, 450m plaza, 300m unión ríos. Ideal edificio o vivienda amplia.",-31.721,-650.072,https://marengoinmobiliaria.com.ar/property-type/lote/
MA2,MA,Marengo Inmobiliaria,330m² – Luis Tessandori esq. Rivadavia (1 lote céntrico),Mina Clavero,,330,12,27,S,Z2B,Consultar,A consultar,FALSE,Cod 15. Lote céntrico con frente por dos calles. A 200m Av. San Martín. Ideal vivienda o pequeño complejo.,-317.212,-650.073,https://marengoinmobiliaria.com.ar/property-type/lote/
MA3,MA,Marengo Inmobiliaria,"342m² – Tucumán esq Jujuy (120m Av Belgrano, VCB)",Villa Cura Brochero,,342,12,28,E,VCB,Consultar,A consultar,FALSE,"Ubicación privilegiada. 120m de Av. Belgrano (principal arteria), 200m del Río Panaholma, 300m del centro comercial de VCB (Plaza Centenario).",-317.067,-650.196,https://marengoinmobiliaria.com.ar/property-type/lote/
MA4,MA,Marengo Inmobiliaria,"~2.000m² – Bajo El Molino, Nono (Ruta 14, 2km plaza)",Nono,35000,2000,30,67,O,NP,Consultar,A consultar,FALSE,"Sobre Ruta 14. Zona Bajo El Molino: metros del Río Chico de Nono, desvío Las Calles. 2km de la plaza de Nono, 9km de MC y 11km de VCB.",-318.082,-650.068,https://marengoinmobiliaria.com.ar/property-type/lote/
MA5,MA,Marengo Inmobiliaria,Lote esq. – Bvd Inti Co (Los Tilos) esq Jacaranda,Arroyo de los Patos,,1000,25,40,O,ZEU,Consultar,A consultar,FALSE,Cod 31. Esquina sobre Boulevard Inti Co (asfaltado) y calle Jacaranda. 300m de Ruta 14. Excelentes vistas a las sierras. En pleno contacto con la naturaleza.,-317.671,-650.003,https://marengoinmobiliaria.com.ar/property-type/lote/
MA6,MA,Marengo Inmobiliaria,7.297m² – San Lorenzo (56m frente × 130m fondo),San Lorenzo (MC),,7297,56,130,O,VCB,Consultar,A consultar,TRUE,56 metros de frente × 130 metros de fondo. A 300m de Av. Cura Brochero (asfaltada) y 400m del Río Panaholma. Ideal complejo de cabañas o vivienda familiar amplia.,-316.726,-650.178,https://marengoinmobiliaria.com.ar/property-type/lote/
MA7,MA,Marengo Inmobiliaria,800m² – Calle Córdoba s/n (150m río Panaholma),Mina Clavero,,800,20,40,S,Z3,Consultar,A consultar,FALSE,Superficie limpia de 800m². A 150m aprox. del río Panaholma y de Av. San Martín. 500m aprox. de la plaza principal. Zona residencial tranquila.,-317.219,-650.027,https://marengoinmobiliaria.com.ar/property-type/lote/
VB1,VB,Inmobiliaria Villa Brochero,"Lote – Gral. Urquiza esq., MC (camino al Nido del Águila)",Mina Clavero,30000,800,20,40,N,Z2B,Escritura,Agua y luz,FALSE,T141MC. Amplios lotes sobre calle General Urquiza en excepcional esquina. Camino al Nido del Águila. Escritura. Servicios. Inmobiliaria Villa Brochero (VCB).,-317.275,-650.006,https://www.villabrochero.com.ar/area/mina-clavero/
VB2,VB,Inmobiliaria Villa Brochero,"Lote – Gral. Urquiza, MC (esquina)",Mina Clavero,30000,800,20,40,N,Z2B,Escritura,Agua y luz,FALSE,"T142MC. Segundo lote disponible sobre calle General Urquiza, MC. Esquina. Escritura. Servicios.",-317.277,-650.007,https://www.villabrochero.com.ar/area/mina-clavero/
VB3,VB,Inmobiliaria Villa Brochero,"16.000m² – La Florida (90m frente, cruzando Río Los Sauces)",Mina Clavero,25000,16000,90,178,E,ZEU2,Escritura,Agua y luz en zona,TRUE,"T028MC. 90m frente × 160m fondo. Cruzando el puente de San Sebastián, al oeste del río. Camino a La Gloria. Monte autóctono. Escritura. 2 unidades de vivienda por Ha permitidas.",-317.175,-650.298,https://www.villabrochero.com.ar/propiedad/t028mc-terrenos-o-lotes-venta-mina-clavero/
VB4,VB,Inmobiliaria Villa Brochero,"900m² – Paraje Las Maravillas, VCB (vista 360° sierras)",Villa Cura Brochero,10000,900,18,50,O,VCB,Cesión de derechos,Luz a 50m,TRUE,2 lotes de 18m × 50m. USD 10.000 cada uno o USD 20.000 los dos. Alambrado perimetral. Luz a 50m. Vista 360° a las sierras. Buena acceso. Cesión de derechos posesorios.,-317.003,-650.238,https://www.villabrochero.com.ar/
VB5,VB,Inmobiliaria Villa Brochero,"Lotes – Camino a La Gloria, VCB (T112CB)",Villa Cura Brochero,,1200,22,55,O,VCB,Consultar,A consultar,FALSE,"T112CB. 2 lotes sobre camino a La Gloria, VCB. Acceso por camino público. Hermoso entorno natural.",-317.024,-650.213,https://www.villabrochero.com.ar/
MT1,MT,MT Inmobiliaria (T.G. Marengo),"~500m² – Mina Clavero (plano, vistas panorámicas)",Mina Clavero,27000,500,15,33,S,Z2B,Consultar,A consultar,FALSE,Terreno plano al frente con leve desnivel al contrafrente. Ideal aprovechamiento de vistas. A pasos del río y del centro. Permuta o financiación posible. Tomás G. Marengo Mat. 04-5686.,-317.232,-650.058,https://mtinmobiliaria.com/ficha-propiedad/hermoso-terreno-en-mina-clavero/
MS1,MS,Martín Sarobe Inmobiliaria,Lotes – Villa Dolores (Loteo Lo Tengo Ubicado),Villa Dolores,,1000,25,40,O,GEN,Consultar,Todos los servicios,FALSE,"Martín Sarobe Inmobiliaria, con base en Villa Dolores (capital comercial de Traslasierra). Lotes en loteos activos de la ciudad. Consultar disponibilidad y precios.",-319.486,-651.878,https://www.facebook.com/RadioVerdadVD/posts/martin-sarobe-inmobiliarianuevo-ingreso
SS1,SS,SG Soluciones Inmobiliarias,"800m² – Villa de Las Rosas (L. Lescano 50, Norte)",Villa de Las Rosas,15000,800,20,40,N,VLR2,Consultar,A consultar,TRUE,"Frente al Norte. Servicios. Ideal para construir casa de veraneo o cabaña turística. SG Soluciones – Ramón J. Cárcano 110, Villa Dolores.",-319.292,-650.408,https://www.sgsolucionesinmobiliarias.com/p/7563060-Terreno-en-Venta-en-Villa-De-Las-Rosas-L.-Lescano-50
SS2,SS,SG Soluciones Inmobiliarias,"9,75Ha – San Javier (campo)",San Javier,97200,97500,200,488,O,SJZ1,Consultar,A consultar,FALSE,9.75 Ha en San Javier. Servicios en zona. Ideal para emprendimiento turístico o loteo.,-32.027,-65.03,https://www.sgsolucionesinmobiliarias.com/p/7273660-Terreno-en-Venta-en-San-Javier-Publica-0
SS3,SS,SG Soluciones Inmobiliarias,"3,98Ha – San Javier (Ruta 14)",San Javier,45000,39800,100,398,O,SJZ6,Consultar,A consultar,FALSE,Sobre Ruta 14. 3.98 Ha en San Javier. Buen acceso. Servicios.,-32.031,-65.032,https://www.sgsolucionesinmobiliarias.com/p/7980477-Terreno-en-Venta-en-San-Javier-Ruta-14-0
SS4,SS,SG Soluciones Inmobiliarias,1.300m² – Las Tapias (calle pública),Las Tapias,7000,1300,25,52,O,GEN,Consultar,A consultar,FALSE,"Calle pública. Las Tapias, 10km de Villa Dolores y 40km de MC. Servicios a distancia.",-319.602,-650.942,https://www.sgsolucionesinmobiliarias.com/p/6006083-Terreno-en-Venta-en-Las-Tapias-Publica
SS5,SS,SG Soluciones Inmobiliarias,"3,5Ha – Quebrada de Los Pozos (VLR)",Villa de Las Rosas,27000,35125,100,351,O,VLR4,Consultar,A consultar,FALSE,"Quebrada de Los Pozos, VLR. 35.125m². Entorno natural. Servicios en zona.",-31.938,-65.042,https://www.sgsolucionesinmobiliarias.com/p/5520780-Terreno-en-Venta-en-Quebrada-De-Los-Pozos-Publica-0
SS6,SS,SG Soluciones Inmobiliarias,"501m² – Av. Costanera al 1800, Mina Clavero",Mina Clavero,47500,501,17,29,S,Z2B,Consultar,A consultar,TRUE,"Sobre Av. Costanera, 1800 al sur. A pasos del río. MC.",-31.72,-650.052,https://www.sgsolucionesinmobiliarias.com/p/7820805-Terreno-en-Venta-en-Mina-Clavero-Av-Costanera-al-1800
SS7,SS,SG Soluciones Inmobiliarias,238m² – Nono (José Manuel Amaya),Nono,32700,238,12,20,S,NC,Escritura,A consultar,TRUE,Urbano en Nono. José Manuel Amaya. Escritura. USD 32.700. SG Soluciones Inmobiliarias.,-317.972,-650.033,https://www.sgsolucionesinmobiliarias.com/Terrenos-en-Venta
SS8,SS,SG Soluciones Inmobiliarias,"2Ha – Las Tapias (campo, calle pública)",Las Tapias,44000,20000,80,250,O,GEN,Consultar,A consultar,FALSE,20.000m² en Las Tapias. Buena ubicación. Calle pública.,-31.956,-65.09,https://www.sgsolucionesinmobiliarias.com/p/7255776-Terreno-en-Venta-en-Las-Tapias-Publica-0
LB1,LB,López Baena Propiedades,"1,03Ha – Achiras Arriba, San Javier (4km plaza, vistas 360°)",San Javier,,10350,65,159,O,SJZ1,Escritura,"Agua, luz",FALSE,Achiras Arriba. 10.350m². Escritura. Agua y luz. Vistas únicas a todo el valle de Traslasierra. A 4km de la plaza de San Javier. Marcelo López Baena CPCI 4199.,-31.996,-65.014,https://lopezbaena.com.ar/Search?locations=32568&operation=1&ptypes=1
LB2,LB,López Baena Propiedades,"Desde 4.000m² – Rodeo de Piedra (1.010 msnm, Champaquí)",Villa de Las Rosas,,4000,40,100,O,SJZ1,Escritura,"Agua, luz",FALSE,"Fabulosos terrenos en Rodeo de Piedra. 1.010 MSNM. Escritura. Agua y luz. 2.5km de Los Molles, 6km de VLR y San Javier. Acceso al Cerro Champaquí. Vistas panorámicas. Desde 4.000m².",-32.046,-65.003,https://www.lopezbaena.com.ar/p/1241141-Terreno-en-Venta-en-Rodeo-De-Piedra
LB3,LB,López Baena Propiedades,"Terreno – Los Hornillos (700m Ruta 14, junto a La Rudita)",Los Hornillos,,2000,35,57,O,ZEU,A consultar,A consultar,FALSE,"Pegado al complejo de cabañas La Rudita. A 700m de Ruta 14. 14km de Nono, 22km de MC. López Baena Propiedades CPCI 4199.",-31.903,-64.981,https://lopezbaena.com.ar/Search?locations=32568&operation=1&ptypes=1
LB4,LB,López Baena Propiedades,"Terreno – Barrio San Onofre, San Javier (plano, escritura)",San Javier,,1000,25,40,O,SJZ4,Escritura,Todos los servicios,FALSE,Barrio San Onofre (Las Chacras). Superficie plana. Vistas a las Sierras Grandes. Vegetación. Cerco perimetral. Todos los impuestos al día. Escritura. Apto crédito.,-319.495,-651.155,https://www.zonaprop.com.ar/inmobiliarias/lopez-baena-propiedades_30022521-terrenos-san-javier-cb.html
LB5,LB,López Baena Propiedades,"9Ha – campo MC (5km plaza, vertiente permanente, escritura)",Mina Clavero,,90000,200,450,O,ZEU2,Escritura,Agua y luz por frente,FALSE,9+ Ha a 5km de la plaza de Mina Clavero. Leve desnivel con vistas a MC hacia el oeste. Vertiente activa permanente en parte baja. Vegetación autóctona. Antiguas pircas. Escritura perfecta.,-31.68,-65.01,https://www.lopezbaena.com.ar/p/2782854-Campo-en-Venta-en-Mina-Clavero-mina-clavero
LB6,LB,López Baena Propiedades,"1.000m² – Las Tapias (100m Ruta 14, derechos posesorios)",Las Tapias,,1000,20,50,O,GEN,Derechos posesorios,Servicios a 50m,FALSE,"1.000m² en buena ubicación de Las Tapias. A 100m de Ruta 14. 10km de Villa Dolores, 40km de MC. Derechos posesorios correctos y demostrables. Servicios a 50m.",-319.605,-650.938,https://lopezbaena.com.ar/Search?locations=32568&operation=1&ptypes=1
LB7,LB,López Baena Propiedades,"1+Ha – Yacanto, Traslasierra",Yacanto,,10000,50,200,O,SJZ1,A consultar,A consultar,FALSE,Más de 1 hectárea en Yacanto. Terrenos en un punto paradisíaco. Libertad de diseño. Ideal casa de retiro o emprendimiento turístico. López Baena Propiedades.,-32.073,-64.976,https://lopezbaena.com.ar/Search?locations=32568&operation=1&ptypes=1
LB8,LB,López Baena Propiedades,"Terrenos – Los Pozos VLR (escritura, vistas panorámicas)",Villa de Las Rosas,,5000,40,125,O,VLR4,Escritura,A consultar,FALSE,"Los Pozos, Villa de Las Rosas. Vistas panorámicas. Escritura. Varios lotes disponibles.",-31.926,-65.044,https://lopezbaena.com.ar/Search?locations=32568&operation=1&ptypes=1
